1 уровень,2 уровень,П. №1,Значение,Тип,П. №2,Значение,Тип,П. №3,Значение,Тип,П. №4,Значение,Тип,П. №5,Значение,Тип,П. №6,Значение,Тип,П. №7,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Тип
PR,smm,Стоимость,от 0 до 200000000 р,Ползунок,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,,,,,,,
PR,marketing,Стоимость,от 0 до 200000000 р,Ползунок,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,,,,,,,
PR,тендеры,Стоимость,от 0 до 200000000 р,Ползунок,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,,,,,,,
PR,юристы,Стоимость,от 0 до 200000000 р,Ползунок,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Автобусы,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Машины,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Ретро-авто,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Мотоциклы,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Разное,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Катер,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Яхта,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Водный мотоцикл,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Разное,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Вертолеты,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Самолеты,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Воздушный шар,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Разное,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Перевозка людей с ограниченными возможностями,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Гримерные,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Вертолеты,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Самолеты,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Воздушный шар,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Транспорт/перевозки/курьеры,Разное,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,Есть фото,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Мин.колличество часов аренды,от 1 до 100 ч.,,,,,,,,,,,,,,
Одежда и обувь,Магазины и салоны,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Одежда и обувь,Мужские костюмы,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Одежда и обувь,Свадебные платья,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Одежда и обувь,Вечерние платья,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Одежда и обувь,Пошив на заказ,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Одежда и обувь,Косплей,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Одежда и обувь,Карнавальные костюмы,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Одежда и обувь,Исторические костюмы,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Прокат Одежды и обуви,Костюмерные,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Прокат Одежды и обуви,Косплей,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Прокат Одежды и обуви,Карнавальные костюмы,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Прокат Одежды и обуви,Исторические костюмы,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
Прокат Одежды и обуви,Другое,Расположение,Список всех городов,Список,Стоимость,от 0 до 200000000 р,Ползунок,,,,,,,,,,,,,,,,,,,,,,
